file_name,folder,model_type,side,sub_category_1,sub_category_2
Auto_Rickshaw.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Examples\ThreeWheeler,ExampleModel,,Three wheeler,Auto Rickshaw
track.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Examples\TrackLibrary,ExampleModel,,Tracked vehicle,Simple track
Tracked_APC.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Examples\TrackLibrary\Tracked_APC,ExampleModel,,Tracked vehicle,Tank
UTV_4x4.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Examples\UTV,ExampleModel,,utv,
autobumpstop_ext_front.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Frnt_bumpers\Jnc_ext1,Bumper,Front,Jounce,external
jounce_bumper.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Frnt_bumpers\Jnc_ext1,Bumper,Front,Jounce,external
autobumpstop_int_front.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Frnt_bumpers\Jnc_int1,Bumper,Front,Jounce,internal
jounce_bumper.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Frnt_bumpers\Jnc_int1,Bumper,Front,Jounce,internal
autorebound_ext_front.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Frnt_bumpers\Reb_ext1,Bumper,Front,Rebound,external
rebound_bumper.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Frnt_bumpers\Reb_ext1,Bumper,Front,Rebound,external
autorebound_int_front.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Frnt_bumpers\Reb_int1,Bumper,Front,Rebound,internal
rebound_bumper.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Frnt_bumpers\Reb_int1,Bumper,Front,Rebound,internal
autodamper_front.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Frnt_shock,Shock Absorber,Front,,
gra_shock.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Frnt_shock,Shock Absorber,Front,,
shock1.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Frnt_shock,Shock Absorber,Front,,
shock2.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Frnt_shock,Shock Absorber,Front,,
autosprings_front.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Frnt_spring,Spring Damper,Front,,
coil1.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Frnt_spring,Spring Damper,Front,,
torsionbar.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Frnt_spring,Spring Damper,Front,,
torsionbar2.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Frnt_spring,Spring Damper,Front,,
stabar1.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Frnt_stabar,Stabaliser bar,Front,,
stabar2.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Frnt_stabar,Stabaliser bar,Front,,
deformable_strut.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Frnt_strut,Strut,Front,,
deformable_strut_main.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Frnt_strut,Strut,Front,,
strut1.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Frnt_strut,Strut,Front,,
strut2.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Frnt_strut,Strut,Front,,
sub1.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Frnt_subfr,sub frame,Front,,
macfrnt.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Frnt_susp\Macpherson\1_pc_lca,Suspension,Front,Macpherson,1 piece
macfrnt.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Frnt_susp\Macpherson\2_pc_lca,Suspension,Front,Macpherson,2 piece
multilinkfrnt.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Frnt_susp\Multilink\2_pc_uca_2_pc_lca,Suspension,Front,Multi link,2 piece
slafrnt.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Frnt_susp\Sla\1_pc_uca_1_pc_lca,Suspension,Front,SLA or short long arm,1 piece
slafrnt.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Frnt_susp\Sla\1_pc_uca_2_pc_lca,Suspension,Front,SLA or short long arm,2 piece
gra_bearing.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Graphics,Graphics,,,
gra_bush.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Graphics,Graphics,,,
gra_control_arm.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Graphics,Graphics,,,
gra_knuck1.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Graphics,Graphics,,,
gra_knuck2.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Graphics,Graphics,,,
gra_knuck3.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Graphics,Graphics,,,
gra_knuck4.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Graphics,Graphics,,,
gra_knuck5.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Graphics,Graphics,,,
gra_parallel.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Graphics,Graphics,,,
gra_stalink.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Graphics,Graphics,,,
gra_strut.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Graphics,Graphics,,,
instrumentation.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Instrumentation,Instrumentation,,,
model_info.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Instrumentation,Instrumentation,,,
susp_anti.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Instrumentation,Instrumentation,,,
gra_pwrtrain.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Powertrain,Powertrain,,,
long1.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Powertrain,Powertrain,,,
long2.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Powertrain,Powertrain,,,
transverse1.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Powertrain,Powertrain,,,
transverse2.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Powertrain,Powertrain,,,
autobumpstop_ext_rear.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Rear_bumpers\Jnc_ext1,Bumper,Rear,Jounce,external
jounce_bumper.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Rear_bumpers\Jnc_ext1,Bumper,Rear,Jounce,external
autobumpstop_int_rear.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Rear_bumpers\Jnc_int1,Bumper,Rear,Jounce,internal
jounce_bumper.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Rear_bumpers\Jnc_int1,Bumper,Rear,Jounce,internal
autorebound_ext_rear.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Rear_bumpers\Reb_ext1,Bumper,Rear,Rebound,external
rebound_bumper.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Rear_bumpers\Reb_ext1,Bumper,Rear,Rebound,external
autorebound_int_rear.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Rear_bumpers\Reb_int1,Bumper,Rear,Rebound,internal
rebound_bumper.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Rear_bumpers\Reb_int1,Bumper,Rear,Rebound,internal
autodamper_rear.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Rear_shock,Shock Absorber,Rear,,
gra_shock.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Rear_shock,Shock Absorber,Rear,,
shock1.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Rear_shock,Shock Absorber,Rear,,
shock2.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Rear_shock,Shock Absorber,Rear,,
autosprings_rear.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Rear_spring,Spring Damper,Rear,,
coil1.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Rear_spring,Spring Damper,Rear,,
coil2.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Rear_spring,Spring Damper,Rear,,
leaf_spring_1.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Rear_spring,Spring Damper,Rear,,
springDef_2leaves.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Rear_spring,Spring Damper,Rear,,
stabar1.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Rear_stabar,Stabaliser bar,Rear,,
stabar2.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Rear_stabar,Stabaliser bar,Rear,,
deformable_strut_main.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Rear_strut,Strut,Rear,,
strut1.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Rear_strut,Strut,Rear,,
strut2.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Rear_strut,Strut,Rear,,
sub1.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Rear_subfr,sub frame,Rear,,
coup_beam.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Rear_susp\Coup_beam,Suspension,Rear,beam,
Solid_axle_susp_leaf_spr.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Rear_susp\Leaf_spring,Suspension,Rear,leaf spring,
4linkaxlerear.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Rear_susp\Linked_solid_axle\Fourlink,Suspension,Rear,linked solid axle,four link
threelink.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Rear_susp\Linked_solid_axle\Threelink,Suspension,Rear,linked solid axle,three link
macrear.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Rear_susp\Macpherson\1_pc_lca,Suspension,Rear,Macpherson,1 piece
multilinkrear.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Rear_susp\Multilink\2_pc_uca_1_pc_lca,Suspension,Rear,Multi link,1 piece
multilinkrear.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Rear_susp\Multilink\2_pc_uca_2_pc_lca,Suspension,Rear,Multi link,2 piece
quadlink.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Rear_susp\Quadlink,Suspension,Rear,quad link,
semitrail.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Rear_susp\Semitrail,Suspension,Rear,semi trail,
slarear.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Rear_susp\Sla\1_pc_uca_1_pc_lca,Suspension,Rear,SLA or short long arm,1 piece
slarear.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Rear_susp\Sla\1_pc_uca_2_pc_lca,Suspension,Rear,SLA or short long arm,2 piece
trail_arm.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Rear_susp\Trail_arm,Suspension,Rear,trailing arm,
twistbeam.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Rear_susp\Twistbeam,Suspension,Rear,twist beam,
boost1.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Steering\Boost,Steering,,boost,
boost_rackpin.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Steering\Boost,Steering,,boost,
column1.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Steering\Column,Steering,,column,
double_idler.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Steering\Linkages\Double_idler,Steering,,linkages,Double idler
parallel.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Steering\Linkages\Parallel,Steering,,linkages,Parallel
rackpin.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Steering\Linkages\Rackpin,Steering,,linkages,Rackpin
autoTire.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Tire,Tires,,,
disk_brakes.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Toolkit\Brakes,Toolkit,,Brakes,
disk_brakes_three_axle.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Toolkit\Brakes,Toolkit,,Brakes,
single_disk_brake.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Toolkit\Brakes,Toolkit,,Brakes,
AutoAirSpring.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Toolkit\Component_test_rig,Toolkit,,Testrig,
AutoBumpStop.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Toolkit\Component_test_rig,Toolkit,,Testrig,
AutoDamper.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Toolkit\Component_test_rig,Toolkit,,Testrig,
AutoReboundStop.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Toolkit\Component_test_rig,Toolkit,,Testrig,
AutoSpring.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Toolkit\Component_test_rig,Toolkit,,Testrig,
AutoTire.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Toolkit\Component_test_rig,Toolkit,,Testrig,
def_comp_testrig.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Toolkit\Component_test_rig,Toolkit,,Testrig,
TireTestRigDef.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Toolkit\Component_test_rig,Toolkit,,Testrig,
tire_test_rig.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Toolkit\Component_test_rig,Toolkit,,Testrig,
CSE_Powertrain.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Toolkit\Powertrain,Toolkit,,Powertrain,
CSE_Powertrain_transverse.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Toolkit\Powertrain,Toolkit,,Powertrain,
dc_motor.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Toolkit\Powertrain,Toolkit,,Powertrain,
dc_motor_transverse.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Toolkit\Powertrain,Toolkit,,Powertrain,
engine_and_clutch.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Toolkit\Powertrain,Toolkit,,Powertrain,
engine_and_clutch_transverse.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Toolkit\Powertrain,Toolkit,,Powertrain,
Engine_mot_info.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Toolkit\Powertrain,Toolkit,,Powertrain,
fmu_engine_auto_transmission.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Toolkit\Powertrain,Toolkit,,Powertrain,
fmu_engine_auto_transmission_long1.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Toolkit\Powertrain,Toolkit,,Powertrain,
fmu_longitudinal.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Toolkit\Powertrain,Toolkit,,Powertrain,
fmu_motor.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Toolkit\Powertrain,Toolkit,,Powertrain,
fmu_motor_v2.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Toolkit\Powertrain,Toolkit,,Powertrain,
fmu_transverse.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Toolkit\Powertrain,Toolkit,,Powertrain,
fmu_transverse_4wd.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Toolkit\Powertrain,Toolkit,,Powertrain,
fmu_transverse_v2.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Toolkit\Powertrain,Toolkit,,Powertrain,
gear_box.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Toolkit\Powertrain,Toolkit,,Powertrain,
gear_box_transverse.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Toolkit\Powertrain,Toolkit,,Powertrain,
Graphics_systems.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Toolkit\Powertrain,Toolkit,,Powertrain,
linear_torque_map_long1.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Toolkit\Powertrain,Toolkit,,Powertrain,
linear_torque_map_long1_truck.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Toolkit\Powertrain,Toolkit,,Powertrain,
linear_torque_map_long2.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Toolkit\Powertrain,Toolkit,,Powertrain,
linear_torque_map_longitudinal.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Toolkit\Powertrain,Toolkit,,Powertrain,
linear_torque_map_transverse1.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Toolkit\Powertrain,Toolkit,,Powertrain,
motor_gear_box.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Toolkit\Powertrain,Toolkit,,Powertrain,
Powertrain_test_rig.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Toolkit\Powertrain,Toolkit,,Powertrain,
signal_generator.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Toolkit\SignalGenerator,Toolkit,,Signal Generator,
